datetime,price,moving_average,raw_signal,weighted_signal,normalized_signal,current_num_factors,current_normalization_factor,current_multiplier
2025-01-05 04:03:39.688,98166.25388666027,,,,,12.0,0.0,2.2
2025-01-05 05:03:36.996,98328.29404861871,,,,,12.0,0.0,2.2
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,223.55516050242005,inf,12.0,0.0,2.2
2025-01-05 02:03:51.158,98118.75309342929,,,,,13.0,0.0,2.3
2025-01-05 03:03:45.049,98209.76129204805,,,,,13.0,0.0,2.3
2025-01-05 04:03:39.688,98166.25388666027,,,,,13.0,0.0,2.3
2025-01-05 05:03:36.996,98328.29404861871,,,,,13.0,0.0,2.3
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,233.71675870707548,inf,13.0,0.0,2.3
2025-01-05 02:03:51.158,98118.75309342929,,,,,14.0,0.0,2.4000000000000004
2025-01-05 03:03:45.049,98209.76129204805,,,,,14.0,0.0,2.4000000000000004
2025-01-05 04:03:39.688,98166.25388666027,,,,,14.0,0.0,2.4000000000000004
2025-01-05 05:03:36.996,98328.29404861871,,,,,14.0,0.0,2.4000000000000004
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,243.87835691173098,inf,14.0,0.0,2.4000000000000004
2025-01-05 02:03:51.158,98118.75309342929,,,,,15.0,0.0,2.5
2025-01-05 03:03:45.049,98209.76129204805,,,,,15.0,0.0,2.5
2025-01-05 04:03:39.688,98166.25388666027,,,,,15.0,0.0,2.5
2025-01-05 05:03:36.996,98328.29404861871,,,,,15.0,0.0,2.5
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,254.0399551163864,inf,15.0,0.0,2.5
2025-01-05 02:03:51.158,98118.75309342929,,,,,16.0,0.0,2.6
2025-01-05 03:03:45.049,98209.76129204805,,,,,16.0,0.0,2.6
2025-01-05 04:03:39.688,98166.25388666027,,,,,16.0,0.0,2.6
2025-01-05 05:03:36.996,98328.29404861871,,,,,16.0,0.0,2.6
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,264.2015533210419,inf,16.0,0.0,2.6
2025-01-05 02:03:51.158,98118.75309342929,,,,,17.0,0.0,2.7
2025-01-05 03:03:45.049,98209.76129204805,,,,,17.0,0.0,2.7
2025-01-05 04:03:39.688,98166.25388666027,,,,,17.0,0.0,2.7
2025-01-05 05:03:36.996,98328.29404861871,,,,,17.0,0.0,2.7
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,274.36315152569733,inf,17.0,0.0,2.7
2025-01-05 02:03:51.158,98118.75309342929,,,,,18.0,0.0,2.8
2025-01-05 03:03:45.049,98209.76129204805,,,,,18.0,0.0,2.8
2025-01-05 04:03:39.688,98166.25388666027,,,,,18.0,0.0,2.8
2025-01-05 05:03:36.996,98328.29404861871,,,,,18.0,0.0,2.8
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,284.52474973035277,inf,18.0,0.0,2.8
2025-01-05 02:03:51.158,98118.75309342929,,,,,19.0,0.0,2.9000000000000004
2025-01-05 03:03:45.049,98209.76129204805,,,,,19.0,0.0,2.9000000000000004
2025-01-05 04:03:39.688,98166.25388666027,,,,,19.0,0.0,2.9000000000000004
2025-01-05 05:03:36.996,98328.29404861871,,,,,19.0,0.0,2.9000000000000004
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,294.68634793500826,inf,19.0,0.0,2.9000000000000004
2025-01-05 02:03:51.158,98118.75309342929,,,,,20.0,0.0,3.0
2025-01-05 03:03:45.049,98209.76129204805,,,,,20.0,0.0,3.0
2025-01-05 04:03:39.688,98166.25388666027,,,,,20.0,0.0,3.0
2025-01-05 05:03:36.996,98328.29404861871,,,,,20.0,0.0,3.0
